The Shawshank Redemption;9.2;1994
The Godfather;9.1;1972
The Godfather: Part II;9.0;1974
Il buono, il brutto, il cattivo;8.9;1966
Pulp Fiction;8.9;1994
Inception;8.9;2010
Schindler's List;8.9;1993
12 Angry Men;8.9;1957
One Flew Over the Cuckoo's Nest;8.8;1975
The Dark Knight;8.8;2008
Star Wars: Episode V - The Empire Strikes Back;8.8;1980
The Lord of the Rings: The Return of the King;8.8;2003
Shichinin no samurai;8.8;1954
Star Wars;8.7;1977
Goodfellas;8.7;1990
Casablanca;8.7;1942
Fight Club;8.7;1999
Cidade de Deus;8.7;2002
The Lord of the Rings: The Fellowship of the Ring;8.7;2001
Rear Window;8.7;1954
C'era una volta il West;8.7;1968
Raiders of the Lost Ark;8.7;1981
Toy Story 3;8.7;2010
Psycho;8.7;1960
The Usual Suspects;8.7;1995
The Matrix;8.7;1999
The Silence of the Lambs;8.6;1991
Se7en;8.6;1995
Memento;8.6;2000
It's a Wonderful Life;8.6;1946
The Lord of the Rings: The Two Towers;8.6;2002
Sunset Blvd.;8.6;1950
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb;8.6;1964
Forrest Gump;8.6;1994
Léon;8.6;1994
Citizen Kane;8.6;1941
Apocalypse Now;8.6;1979
North by Northwest;8.6;1959
American Beauty;8.6;1999
American History X;8.5;1998
Taxi Driver;8.5;1976
Terminator 2: Judgment Day;8.5;1991
Saving Private Ryan;8.5;1998
Vertigo;8.5;1958
Le fabuleux destin d'Amélie Poulain;8.5;2001
Alien;8.5;1979
WALL-E;8.5;2008
Lawrence of Arabia;8.5;1962
The Shining;8.5;1980
Sen to Chihiro no kamikakushi;8.5;2001
